Duration,ID,Consent,Gender,Age,Residency,Ethnicity,Sexuality,Vic_known,False_acc,Verdict,Likert_verdict,Confidence,Sentence,Credibility,Responsibility,Empathy,SA1,SA2,SA3,SA4,SA5,SA6,MT1,MT2,MT3,F1,MT4,MT5,MT6,NR1,NR2,NR3,NR4,NR5,F2,LI1,LI2,LI3,LI4,LI5,LI6,Condition
587,5dcab17a5fd203781ec5869c,1,2,58,58,1,1,1,1,0,4,31,1,5,4,4,1,1,1,1,1,1,5,1,6,7,1,1,1,1,1,1,1,1,7,6,2,2,2,2,1,Vignette(high)
1306,605252b3932a203e20489d92,1,1,25,25,1,1,1,3,0,3,70,3,5,4,3,1,1,1,1,5,4,5,5,4,7,4,1,4,1,1,1,1,1,7,5,4,4,4,5,2,Vignette(high)
1166,5d687a77edb39d00194f0a60,1,1,23,23,1,1,2,1,1,6,90,1,6,1,4,2,1,1,1,1,6,4,2,1,7,1,1,2,1,1,1,1,1,7,1,1,1,1,1,1,Vignette(high)
655,5b6d9cb43a3efc000157c751,1,1,33,33,1,1,2,1,1,6,71,3,6,3,5,2,1,1,1,1,3,6,2,5,7,1,1,1,1,1,1,1,1,7,2,1,2,1,3,1,Vignette(high)
319,5c522fbee3209c000177efa8,1,2,64,64,1,1,2,1,1,6,91,3,6,5,4,1,1,1,1,1,1,4,1,1,7,1,1,1,1,1,1,1,1,7,2,2,2,2,2,1,Vignette(low)
698,5ffe0896c8b8484568c92af9,1,2,70,60,1,1,2,1,1,7,100,2,7,1,5,1,1,1,1,1,3,7,1,1,7,3,1,1,1,1,1,1,1,7,2,3,2,3,2,1,Vignette(low)
746,5c9164d10791df0001366ab9,1,1,65,65,1,1,1,1,0,2,89,0,5,5,2,1,1,1,5,1,5,7,6,7,7,6,1,1,1,1,1,1,1,7,6,6,6,1,6,1,Vignette(low)
786,5e8daaef9422bb028769fa86,1,2,22,22,1,1,1,2,1,6,85,2,5,6,3,1,1,1,2,5,2,5,3,2,6,2,1,2,1,1,1,1,2,5,3,1,2,1,2,1,Vignette(high)
678,5a7770b2f49c9a0001f2ff2b,1,2,29,29,1,1,1,1,1,6,80,5,6,1,5,1,1,1,1,1,2,3,2,1,7,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,Vignette(low)
530,5e8495af68b86403cb632765,1,2,32,32,4,1,1,1,1,6,89,10,6,5,4,3,1,1,5,1,1,6,1,4,7,1,2,1,1,1,1,1,2,6,1,2,2,1,1,1,Vignette(low)
963,6050dba498311db34c5be5bd,1,2,19,19,10,2,1,1,1,7,100,10,7,2,5,1,1,1,1,2,1,3,1,1,7,1,1,2,1,1,1,1,2,7,1,1,1,1,1,1,Vignette(low)
998,5bad16bfd0e97100013f49ad,1,1,47,47,4,1,1,1,0,5,77,8,4,5,3,3,1,2,1,3,3,3,3,3,2,5,4,4,4,2,1,2,4,6,5,5,4,5,4,2,Vignette(high)
529,60537fdcda0ac05f1c59c57f,1,2,36,36,1,1,2,1,0,6,50,0,6,1,5,1,1,1,1,3,2,1,2,2,6,3,3,2,1,1,1,1,1,5,1,1,1,1,1,1,Vignette(high)
751,5c7aab506c79bb0016cd882f,1,2,45,45,1,1,1,1,0,4,60,5,5,5,2,2,1,3,4,3,5,7,5,6,7,4,2,4,2,3,2,2,5,6,5,6,5,4,4,2,Vignette(low)
570,5c1ac1c637dd01000114e36a,1,4,21,21,1,1,1,2,0,5,35,2,5,5,4,3,3,2,5,5,5,2,5,5,6,5,1,1,1,2,1,1,5,6,4,2,4,4,1,3,Vignette(low)
